id,wallet_address,portfolio_value,nft_collection,collection_value,holding_balance,opensea,explore
0x74619cfc7e,0x74619cfc7ec552e5051c181f49428ccd154256f7,2.98M,Bored Ape Yacht Club,2.42M,11,https://opensea.io/0x74619cfc7ec552e5051c181f49428ccd154256f7?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x74619cfc7ec552e5051c181f49428ccd154256f7
Apevault,0xa4d3786210a59cc113eedf5a30e1358ed9befa2a,3.16M,Bored Ape Yacht Club,2.42M,11,https://opensea.io/0xa4d3786210a59cc113eedf5a30e1358ed9befa2a?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xa4d3786210a59cc113eedf5a30e1358ed9befa2a
taylor,0x550e970e31a45b06df01a00b1c89a478d4d5e00a,3.62M,Bored Ape Yacht Club,2.42M,11,https://opensea.io/0x550e970e31a45b06df01a00b1c89a478d4d5e00a?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x550e970e31a45b06df01a00b1c89a478d4d5e00a
0xc883a79e8e,0xc883a79e8e4594c4f89434edb754a10da2311139,3.22M,Bored Ape Yacht Club,2.42M,11,https://opensea.io/0xc883a79e8e4594c4f89434edb754a10da2311139?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xc883a79e8e4594c4f89434edb754a10da2311139
apeboredclub.eth,0x5f20abebe0ba11a9dc0f08e654e416bbee8979f9,5.15M,Bored Ape Yacht Club,2.42M,11,https://opensea.io/0x5f20abebe0ba11a9dc0f08e654e416bbee8979f9?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x5f20abebe0ba11a9dc0f08e654e416bbee8979f9
KainJ,0x0449bc01e1d8154a118c56aaa776272e94b45929,3.36M,Bored Ape Yacht Club,2.2M,10,https://opensea.io/0x0449bc01e1d8154a118c56aaa776272e94b45929?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x0449bc01e1d8154a118c56aaa776272e94b45929
0xb8b5709d1f,0xb8b5709d1f161a353bb5e902c0ffd761bc4d8074,2.46M,Bored Ape Yacht Club,2.2M,10,https://opensea.io/0xb8b5709d1f161a353bb5e902c0ffd761bc4d8074?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xb8b5709d1f161a353bb5e902c0ffd761bc4d8074
0xe0028f4b2a,0xe0028f4b2a9ff1e825c872d5e871ab4250dbebc4,3.7M,Bored Ape Yacht Club,2.2M,10,https://opensea.io/0xe0028f4b2a9ff1e825c872d5e871ab4250dbebc4?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xe0028f4b2a9ff1e825c872d5e871ab4250dbebc4
totvault,0x8c0a11eb047c1097c821c159b8e0c2c5f37f81bf,3.06M,Bored Ape Yacht Club,2.2M,10,https://opensea.io/0x8c0a11eb047c1097c821c159b8e0c2c5f37f81bf?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x8c0a11eb047c1097c821c159b8e0c2c5f37f81bf
0x5d94df1c12,0x5d94df1c12a5d796cb889edda6c40f659f39f43f,3.28M,Bored Ape Yacht Club,2.2M,10,https://opensea.io/0x5d94df1c12a5d796cb889edda6c40f659f39f43f?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x5d94df1c12a5d796cb889edda6c40f659f39f43f
niftynaut,0xb47a70df538b9a3b591bc5d75da66a04c879b291,16.3M,Bored Ape Yacht Club,6.51M,10,https://opensea.io/0xb47a70df538b9a3b591bc5d75da66a04c879b291?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xb47a70df538b9a3b591bc5d75da66a04c879b291
Kikuchiyo,0x3f17244f636f12e4324717ba47848be81d6bcb35,4.27M,Bored Ape Yacht Club,2.2M,10,https://opensea.io/0x3f17244f636f12e4324717ba47848be81d6bcb35?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x3f17244f636f12e4324717ba47848be81d6bcb35
0x6df304782b,0x6df304782b0866d2538c8fd2e46904a7f2ae321c,10.5M,Bored Ape Yacht Club,5.03M,10,https://opensea.io/0x6df304782b0866d2538c8fd2e46904a7f2ae321c?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x6df304782b0866d2538c8fd2e46904a7f2ae321c
0x0503b4d6b8,0x0503b4d6b8bb49d9275155f95f27646871ad1dc2,3.1M,Bored Ape Yacht Club,2.2M,10,https://opensea.io/0x0503b4d6b8bb49d9275155f95f27646871ad1dc2?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x0503b4d6b8bb49d9275155f95f27646871ad1dc2
Warrenvault,0x9cbd7d0a64c87a2561b4b8a4975f7a0e6d3a7903,3.32M,Bored Ape Yacht Club,2.2M,10,https://opensea.io/0x9cbd7d0a64c87a2561b4b8a4975f7a0e6d3a7903?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x9cbd7d0a64c87a2561b4b8a4975f7a0e6d3a7903
BobTheNailer,0xc6a7463a7ee700d035aff7bfd1ee198d680a4164,4.35M,Bored Ape Yacht Club,2.2M,10,https://opensea.io/0xc6a7463a7ee700d035aff7bfd1ee198d680a4164?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xc6a7463a7ee700d035aff7bfd1ee198d680a4164
patronft.eth,0xf98c3c402f9db363d92e9bb15afabfb9c0290114,2.58M,Bored Ape Yacht Club,1.98M,9,https://opensea.io/0xf98c3c402f9db363d92e9bb15afabfb9c0290114?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xf98c3c402f9db363d92e9bb15afabfb9c0290114
Malthorin_Vault,0x59e1cdf908933ce0f3296b64e726160af1b63320,3.11M,Bored Ape Yacht Club,1.98M,9,https://opensea.io/0x59e1cdf908933ce0f3296b64e726160af1b63320?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x59e1cdf908933ce0f3296b64e726160af1b63320
