Name,Symbol,Network,Address,Deployed,Token Address,Contract Source,Detailed Info,Token Price,Total Supply,Market Cap,Chart
Meta Car,METACAR,BSC,0x59a57304cbbecfecdc964af77666bc15dc916b80,05 Feb 2022 02:40:24 GMT ,https://bscscan.com/token/0x59a57304cbbecfecdc964af77666bc15dc916b80,https://tokensniffer.com/contract/0x59a57304cbbecfecdc964af77666bc15dc916b80,https://tokensniffer.com/token/1gc5hg91pq0xs4bjujaib8izab2bhks389zqqkkikjb61cdg442b3dh6kjvx?h=5415,0.0000000000000000210787,"1,000,000,000,000,000",0,https://poocoin.app/tokens/0x59a57304cbbecfecdc964af77666bc15dc916b80
Mr WAGMI,WAGMI,BSC,0xe81edcc18612564dadd0600f09a70fb6444a4d68,05 Feb 2022 02:40:27 GMT ,https://bscscan.com/token/0xe81edcc18612564dadd0600f09a70fb6444a4d68,https://tokensniffer.com/contract/0xe81edcc18612564dadd0600f09a70fb6444a4d68,https://tokensniffer.com/token/av6lae2bb6vk6ngg1ks2922x4dieokxxpz3xgfhuc9qxzjkdssps49fs2ukv?h=5714,0.000,"1,000,000,000",0,https://poocoin.app/tokens/0xe81edcc18612564dadd0600f09a70fb6444a4d68
SuperInu,SUPERINU,BSC,0x2183b0e235abb481e8155f2fde6d89142d9bb592,05 Feb 2022 02:39:54 GMT ,https://bscscan.com/token/0x2183b0e235abb481e8155f2fde6d89142d9bb592,https://tokensniffer.com/contract/0x2183b0e235abb481e8155f2fde6d89142d9bb592,https://tokensniffer.com/token/n6v0jxian0d1i9j85jsvuldm6opavg611zgnz2damk2ovh6sn2hjdgigj1hn?h=5584,0.0000000000000993020,"1,000,000,000",0,https://poocoin.app/tokens/0x2183b0e235abb481e8155f2fde6d89142d9bb592
WagmiDoge,WAGMIDOGE,BSC,0xbbd54fcf37c67c9c9f3515656377ad9b5b7701d6,05 Feb 2022 02:28:39 GMT ,https://bscscan.com/token/0xbbd54fcf37c67c9c9f3515656377ad9b5b7701d6,https://tokensniffer.com/contract/0xbbd54fcf37c67c9c9f3515656377ad9b5b7701d6,https://tokensniffer.com/token/djj21sz4bzd50qbddukq5cbchbuhz801g6e1k1k0qq92hj1jim4qqlx652ck?h=5315,0.00000000122430,"1,000,000,000,000","1,188",https://poocoin.app/tokens/0xbbd54fcf37c67c9c9f3515656377ad9b5b7701d6
MiniTiger,MINITIGER,BSC,0x58f9187fe36cba26b063c6687ee42be2d2df63c8,05 Feb 2022 02:30:03 GMT ,https://bscscan.com/token/0x58f9187fe36cba26b063c6687ee42be2d2df63c8,https://tokensniffer.com/contract/0x58f9187fe36cba26b063c6687ee42be2d2df63c8,https://tokensniffer.com/token/1uvuzelh6pivgqcza0kbggj49nkojfcxkol0bcikkvqauaspnjan2n2zk0bv?h=5973,0.000000000156384,"500,020,000",0,https://poocoin.app/tokens/0x58f9187fe36cba26b063c6687ee42be2d2df63c8
ShibFinance,SHIBFIN,BSC,0xc0987cef57486650acb969047cc3edc7ecf8605e,05 Feb 2022 02:02:24 GMT ,https://bscscan.com/token/0xc0987cef57486650acb969047cc3edc7ecf8605e,https://tokensniffer.com/contract/0xc0987cef57486650acb969047cc3edc7ecf8605e,https://tokensniffer.com/token/b34xhvlqbaz1qsvkfk1x9bjgh85kefdhxsfluqbb03am2bq8abzuvkxd41ia?h=5727,0.0000000000110559,"50,000,100,000,000",553,https://poocoin.app/tokens/0xc0987cef57486650acb969047cc3edc7ecf8605e
MiniWagmi,MINIWAGMI,BSC,0x4a7677ab87af1ae3e8dc48fd24a5056d3777c7ff,05 Feb 2022 02:06:57 GMT ,https://bscscan.com/token/0x4a7677ab87af1ae3e8dc48fd24a5056d3777c7ff,https://tokensniffer.com/contract/0x4a7677ab87af1ae3e8dc48fd24a5056d3777c7ff,https://tokensniffer.com/token/speg5493qikmqgq9cjviq9z69a0apv2bsvcz2n8s91x1k2u0qqf8qblqoizz?h=5573,0.00000000115928,"1,000,000,000,000","1,085",https://poocoin.app/tokens/0x4a7677ab87af1ae3e8dc48fd24a5056d3777c7ff
Mommy Wagmi,MOMWAGMI,BSC,0x393ac43dda6fc764e33c5a5b27321d66464be9a8,05 Feb 2022 02:05:12 GMT ,https://bscscan.com/token/0x393ac43dda6fc764e33c5a5b27321d66464be9a8,https://tokensniffer.com/contract/0x393ac43dda6fc764e33c5a5b27321d66464be9a8,https://tokensniffer.com/token/i40h0m9bds022g9kzbqksa003fb4f19d1jnql8m0n62koksksja3hi8d9gdv?h=5182,0.000,"1,000,000,000",0,https://poocoin.app/tokens/0x393ac43dda6fc764e33c5a5b27321d66464be9a8
Alphamatic,AMATIC,BSC,0x3c841c4dbb79d9007b118fa59d7dc9a67e364881,05 Feb 2022 02:05:39 GMT ,https://bscscan.com/token/0x3c841c4dbb79d9007b118fa59d7dc9a67e364881,https://tokensniffer.com/contract/0x3c841c4dbb79d9007b118fa59d7dc9a67e364881,https://tokensniffer.com/token/0bvmos6beps2jjqmh2hx5xqjeg6g6u4v4zp93d1h2q2bh95gkqaeg0kosvv6?h=5502,0.000000000000000122269,"10,000,000,000,100,000,000,000","1,222,691",https://poocoin.app/tokens/0x3c841c4dbb79d9007b118fa59d7dc9a67e364881
ChineseWagmiInu,CHINESEWAGMIINU,BSC,0x45e91ce26eae6ac42165d5d8f164cbbbdf267de2,05 Feb 2022 01:47:09 GMT ,https://bscscan.com/token/0x45e91ce26eae6ac42165d5d8f164cbbbdf267de2,https://tokensniffer.com/contract/0x45e91ce26eae6ac42165d5d8f164cbbbdf267de2,https://tokensniffer.com/token/sd15ah6banka9aki9bsn5g6k12f88c1332vlz6k3sbjjjd3288zn5kq2daon?h=5134,0.00000000000285925,"1,000,000,000,000,000","2,859",https://poocoin.app/tokens/0x45e91ce26eae6ac42165d5d8f164cbbbdf267de2
