Name,Symbol,Network,Address,Deployed,Token Address,Contract Source,Detailed Info
Cupid,CUPID,BSC,0xdf309ac2576e6625f11a6e32a4cfef235312970f,03 Feb 2022 20:13:37 GMT ,https://bscscan.com/token/0xdf309ac2576e6625f11a6e32a4cfef235312970f,https://tokensniffer.com/contract/0xdf309ac2576e6625f11a6e32a4cfef235312970f,https://tokensniffer.com/token/2z0xho9bgn1qfkeakkn81z669koae0pn89disbizdazn0eliegc106nhqmxz?h=5575
DogeSteel,DOGESTEEL,BSC,0x07de79b4327620b5406cd12243ce946b9ea94f09,04 Feb 2022 06:59:28 GMT ,https://bscscan.com/token/0x07de79b4327620b5406cd12243ce946b9ea94f09,https://tokensniffer.com/contract/0x07de79b4327620b5406cd12243ce946b9ea94f09,https://tokensniffer.com/token/5dxiqi2dmlaqhlujs08nqknxjll1s4xkpfb26nn4s0bahskjha9hpsp4fzxh?h=5831
DADDY PIG,DADDYPIG,BSC,0xe6c55bc1afe5b4d435285b33a60fc8e10a784a08,04 Feb 2022 06:49:46 GMT ,https://bscscan.com/token/0xe6c55bc1afe5b4d435285b33a60fc8e10a784a08,https://tokensniffer.com/contract/0xe6c55bc1afe5b4d435285b33a60fc8e10a784a08,https://tokensniffer.com/token/akb11j5b69zea1js2s0l1oncvf81lfj00g9kxz5bvcae6gx8c9ucqvs9d5xv?h=5359
MegaMoonToken,MMT,BSC,0x51735090d1164cc1fa14205e0eb169f310fec7b1,04 Feb 2022 06:33:58 GMT ,https://bscscan.com/token/0x51735090d1164cc1fa14205e0eb169f310fec7b1,https://tokensniffer.com/contract/0x51735090d1164cc1fa14205e0eb169f310fec7b1,https://tokensniffer.com/token/1g6q041xh53xf26ci6ke5sbbp6z96snfx1axajde6pkhoz086xzabdfqfoj6?h=5361
Tiger King,TIGERKING,BSC,0xc47cbaa3192dce30ee64debcc04d4f954cace4aa,04 Feb 2022 06:14:37 GMT ,https://bscscan.com/token/0xc47cbaa3192dce30ee64debcc04d4f954cace4aa,https://tokensniffer.com/contract/0xc47cbaa3192dce30ee64debcc04d4f954cace4aa,https://tokensniffer.com/token/bsqc8bj9906hnoo2bfa0xcaaks25amjl5mbfbuxs42cuszmhm1sob9bais99?h=5538
CryptoRunner,CR,BSC,0xa8a1c7c845a13012abe3b638df6b0fce13d79924,04 Feb 2022 05:33:16 GMT ,https://bscscan.com/token/0xa8a1c7c845a13012abe3b638df6b0fce13d79924,https://tokensniffer.com/contract/0xa8a1c7c845a13012abe3b638df6b0fce13d79924,https://tokensniffer.com/token/g9dv96dbqpbvs159560lx6n9pjpca0j44k40v2zk3mijxzb8a60i52qhuhns?h=5231
Mommy Pig,MPIGGY,BSC,0x9b6a8ad57a2bb281bca16856627e35bd6bfae724,04 Feb 2022 06:03:58 GMT ,https://bscscan.com/token/0x9b6a8ad57a2bb281bca16856627e35bd6bfae724,https://tokensniffer.com/contract/0x9b6a8ad57a2bb281bca16856627e35bd6bfae724,https://tokensniffer.com/token/hpjk9v39m215q9njjnlv36jelbm96kv1kmdknqda0o1djl2kjz598daqines?h=5470
Google Finance Metaverse,GOOGLE,BSC,0x12f0b1c90fdf478d49c39e3d43409e3a01c14f9c,04 Feb 2022 06:05:13 GMT ,https://bscscan.com/token/0x12f0b1c90fdf478d49c39e3d43409e3a01c14f9c,https://tokensniffer.com/contract/0x12f0b1c90fdf478d49c39e3d43409e3a01c14f9c,https://tokensniffer.com/token/f6nidlzxj6bh4xz2z3msq5vp42shb0hcfa0284s0s8x4ha5094xl6bd6szhb?h=5285
Baby PuffyShiba,$BPUS,BSC,0x2b67f6988804045dc7df71eefb0c17f7ad55235b,04 Feb 2022 05:09:41 GMT ,https://bscscan.com/token/0x2b67f6988804045dc7df71eefb0c17f7ad55235b,https://tokensniffer.com/contract/0x2b67f6988804045dc7df71eefb0c17f7ad55235b,https://tokensniffer.com/token/8njk5qzkhfvpvvumfmxsxmes12dbq52uzmq6agazgjxb6qzq92511n0uo1uj?h=5755
Baby Tiger,BABYTIGER,BSC,0xecae166061cf60b5e157a0501631d5e518f2b7da,04 Feb 2022 05:32:13 GMT ,https://bscscan.com/token/0xecae166061cf60b5e157a0501631d5e518f2b7da,https://tokensniffer.com/contract/0xecae166061cf60b5e157a0501631d5e518f2b7da,https://tokensniffer.com/token/ab9a36kukuxmk6bz8ekxj41lofa61q98l3ex1cxo6ok0621ag13i6vznjq29?h=5217
TIGERJUNGLE,TIGERJUNGLE,BSC,0xa1067c8410c75cc1a7650588fda034fd24e613e0,04 Feb 2022 05:33:46 GMT ,https://bscscan.com/token/0xa1067c8410c75cc1a7650588fda034fd24e613e0,https://tokensniffer.com/contract/0xa1067c8410c75cc1a7650588fda034fd24e613e0,https://tokensniffer.com/token/o963xkqb8vs6xbq1bb6l9qkpu154x1vovz29x03sicplz52nseadk86lc0ax?h=5392
BurnCake,BURNCAKE,BSC,0xf09aa360a087aeed21a9cc6387078ac8eee2f844,04 Feb 2022 03:25:17 GMT ,https://bscscan.com/token/0xf09aa360a087aeed21a9cc6387078ac8eee2f844,https://tokensniffer.com/contract/0xf09aa360a087aeed21a9cc6387078ac8eee2f844,https://tokensniffer.com/token/zidppcdxhc990kx9xofvlq9oa5ag2n69hbbk0vmqx5qmvm9bvlaaanzvfgss?h=5854
Mrs Duckling,DUCKLING,BSC,0x6d943f680748e694efbfc6870a1c7ee6cef7a334,04 Feb 2022 05:20:11 GMT ,https://bscscan.com/token/0x6d943f680748e694efbfc6870a1c7ee6cef7a334,https://tokensniffer.com/contract/0x6d943f680748e694efbfc6870a1c7ee6cef7a334,https://tokensniffer.com/token/k2hs0zfk5vxqs8vakhsu5az3jzfb5kvpqx96ebpqaakbazqcmpp9803uf08s?h=5710
LUNARSTAR,LUNARSTAR,BSC,0xce32e80e6460284842bfa5572c2bc6e6bf3f26c6,04 Feb 2022 05:19:41 GMT ,https://bscscan.com/token/0xce32e80e6460284842bfa5572c2bc6e6bf3f26c6,https://tokensniffer.com/contract/0xce32e80e6460284842bfa5572c2bc6e6bf3f26c6,https://tokensniffer.com/token/ba50nmavx8agkcgs8kx4nvsvsin38jzp9f11qnbnjbk4agkjz08oplgznkbk?h=5771
Rebel Tesla,REBELTESLA,BSC,0x6bd6b3552c2580568547c97aba9edc333bb43da9,04 Feb 2022 05:20:26 GMT ,https://bscscan.com/token/0x6bd6b3552c2580568547c97aba9edc333bb43da9,https://tokensniffer.com/contract/0x6bd6b3552c2580568547c97aba9edc333bb43da9,https://tokensniffer.com/token/opgkj52k3j01f1mnb8un1vx14kdpv1spqid8bhq9oj9ha2be0800jmjs029h?h=5220
